iter	Passed	Remaining
0	141	141532
1	143	71509
2	145	48295
3	147	36635
4	149	29723
5	151	25020
6	153	21838
7	157	19491
8	158	17458
9	159	15830
10	163	14705
11	164	13574
12	166	12658
13	169	11937
14	170	11214
15	171	10572
16	173	10005
17	174	9546
18	176	9115
19	178	8729
20	181	8445
21	183	8137
22	184	7841
23	186	7565
24	187	7305
25	188	7074
26	190	6866
27	193	6712
28	194	6524
29	196	6338
30	197	6160
31	198	6017
32	201	5891
33	203	5770
34	204	5642
35	207	5554
36	209	5443
37	212	5367
38	214	5273
39	215	5178
40	217	5091
41	219	5013
42	223	4966
43	227	4935
44	229	4860
45	231	4798
46	234	4754
47	238	4731
48	241	4683
49	243	4626
50	245	4567
51	247	4508
52	249	4461
53	254	4461
54	257	4417
55	258	4365
56	261	4327
57	263	4285
58	266	4245
59	269	4215
60	270	4170
61	273	4134
62	278	4145
63	280	4106
64	283	4074
65	284	4032
66	288	4015
67	289	3963
68	291	3928
69	293	3898
70	294	3859
71	296	3823
72	298	3789
73	300	3762
74	302	3735
75	304	3698
76	305	3666
77	307	3636
78	309	3606
79	312	3596
80	314	3567
81	315	3537
82	317	3503
83	318	3471
84	319	3439
85	320	3408
86	321	3372
87	322	3341
88	323	3312
89	324	3284
90	326	3259
91	328	3246
92	330	3226
93	331	3198
94	332	3170
95	334	3145
96	335	3123
97	337	3104
98	338	3084
99	340	3067
100	344	3067
101	345	3044
102	347	3025
103	349	3014
104	351	2995
105	353	2980
106	355	2966
107	357	2949
108	358	2932
109	361	2923
110	362	2905
111	364	2891
112	366	2878
113	368	2865
114	370	2850
115	372	2836
116	374	2826
117	376	2815
118	378	2799
119	381	2795
120	383	2788
121	387	2789
122	388	2768
123	389	2753
124	391	2737
125	393	2730
126	395	2718
127	397	2706
128	400	2706
129	404	2709
130	406	2696
131	408	2688
132	410	2678
133	412	2667
134	414	2658
135	417	2654
136	420	2645
137	421	2630
138	422	2618
139	423	2604
140	426	2596
141	428	2586
142	429	2576
143	431	2566
144	435	2570
145	439	2568
146	445	2584
147	446	2573
148	448	2562
149	449	2547
150	450	2531
151	451	2516
152	451	2501
153	452	2487
154	453	2474
155	455	2461
156	456	2448
157	457	2436
158	457	2422
159	458	2408
160	459	2395
161	460	2383
162	462	2372
163	463	2360
164	463	2347
165	464	2334
166	465	2323
167	467	2314
168	468	2303
169	469	2292
170	471	2284
171	472	2272
172	473	2261
173	474	2250
174	474	2239
175	475	2227
176	476	2216
177	477	2205
178	478	2194
179	479	2183
180	479	2170
181	480	2160
182	481	2151
183	483	2142
184	484	2134
185	485	2124
186	486	2114
187	487	2105
188	488	2095
189	490	2089
190	491	2081
191	492	2072
192	493	2062
193	494	2053
194	496	2049
195	498	2045
196	500	2038
197	502	2034
198	503	2028
199	505	2022
200	508	2019
201	509	2012
202	510	2005
203	512	1999
204	513	1993
205	515	1986
206	516	1978
207	517	1970
208	518	1962
209	521	1961
210	523	1955
211	524	1949
212	525	1941
213	526	1933
214	527	1925
215	528	1917
216	529	1911
217	530	1903
218	531	1895
219	532	1887
220	533	1879
221	535	1877
222	537	1872
223	538	1866
224	540	1861
225	541	1854
226	542	1848
227	543	1841
228	544	1834
229	546	1830
230	548	1825
231	549	1818
232	551	1816
233	553	1812
234	554	1805
235	555	1799
236	556	1792
237	557	1785
238	558	1778
239	559	1773
240	560	1766
241	561	1758
242	562	1752
243	563	1746
244	564	1740
245	565	1733
246	566	1726
247	567	1720
248	568	1713
249	569	1707
250	569	1700
251	570	1694
252	571	1688
253	572	1682
254	573	1676
255	574	1670
256	575	1664
257	576	1658
258	578	1656
259	580	1650
260	580	1644
261	581	1638
262	582	1632
263	585	1631
264	586	1626
265	588	1622
266	597	1639
267	598	1633
268	599	1628
269	600	1622
270	600	1616
271	601	1610
272	602	1604
273	603	1598
274	604	1592
275	605	1587
276	605	1581
277	606	1576
278	609	1575
279	612	1575
280	614	1572
281	616	1568
282	617	1564
283	619	1561
284	620	1557
285	622	1553
286	624	1550
287	625	1545
288	626	1540
289	627	1535
290	628	1530
291	629	1525
292	630	1520
293	631	1515
294	632	1510
295	633	1506
296	634	1501
297	636	1499
298	638	1496
299	641	1497
300	643	1494
301	644	1490
302	645	1485
303	646	1480
304	647	1476
305	648	1471
306	649	1467
307	650	1462
308	651	1457
309	652	1452
310	654	1449
311	655	1445
312	656	1441
313	657	1437
314	659	1433
315	660	1428
316	660	1424
317	661	1419
318	662	1415
319	663	1410
320	665	1408
321	667	1404
322	668	1400
323	669	1396
324	670	1392
325	671	1388
326	672	1384
327	673	1380
328	674	1376
329	675	1372
330	676	1368
331	678	1365
332	680	1362
333	681	1358
334	682	1355
335	683	1350
336	684	1346
337	685	1342
338	686	1338
339	687	1334
340	688	1331
341	689	1327
342	690	1323
343	692	1319
344	693	1315
345	694	1311
346	695	1307
347	696	1304
348	697	1300
349	698	1296
350	700	1295
351	701	1292
352	702	1288
353	703	1284
354	704	1280
355	705	1276
356	706	1273
357	707	1269
358	708	1265
359	709	1261
360	710	1258
361	711	1254
362	712	1250
363	713	1247
364	716	1246
365	719	1245
366	720	1242
367	721	1239
368	724	1238
369	727	1238
370	729	1237
371	732	1236
372	734	1234
373	736	1232
374	740	1234
375	742	1232
376	743	1229
377	745	1226
378	746	1223
379	748	1220
380	749	1217
381	751	1215
382	754	1215
383	755	1212
384	757	1209
385	758	1206
386	760	1205
387	762	1202
388	763	1199
389	765	1196
390	766	1194
391	768	1191
392	769	1188
393	770	1185
394	772	1183
395	774	1180
396	775	1178
397	777	1176
398	779	1174
399	782	1173
400	784	1171
401	785	1169
402	787	1166
403	788	1163
404	790	1161
405	791	1158
406	792	1154
407	793	1151
408	794	1148
409	796	1145
410	797	1142
411	798	1139
412	799	1136
413	801	1134
414	802	1131
415	804	1129
416	805	1126
417	807	1123
