iter	Passed	Remaining
0	173	173742
1	175	87528
2	178	59314
3	180	44835
4	181	36128
5	185	30780
6	186	26503
7	188	23427
8	190	20979
9	191	18994
10	192	17340
11	193	15956
12	194	14783
13	195	13787
14	196	12917
15	197	12152
16	198	11503
17	200	10918
18	201	10380
19	204	9996
20	205	9558
21	205	9155
22	206	8788
23	207	8449
24	208	8147
25	209	7861
26	210	7594
27	211	7351
28	212	7126
29	213	6915
30	214	6713
31	217	6569
32	218	6399
33	219	6232
34	220	6074
35	221	5929
36	222	5788
37	223	5653
38	224	5529
39	225	5412
40	226	5297
41	227	5187
42	228	5083
43	231	5024
44	232	4934
45	233	4845
46	235	4769
47	237	4702
48	238	4622
49	239	4545
50	240	4469
51	241	4396
52	242	4327
53	246	4309
54	247	4246
55	248	4182
56	249	4130
57	250	4074
58	252	4023
59	254	3981
60	255	3930
61	256	3878
62	257	3826
63	260	3808
64	261	3763
65	262	3721
66	264	3680
67	265	3636
68	266	3592
69	267	3551
70	268	3510
71	269	3471
72	270	3431
73	271	3392
74	272	3355
75	274	3339
76	275	3307
77	278	3288
78	279	3260
79	281	3239
80	282	3209
81	283	3176
82	284	3140
83	285	3110
84	286	3083
85	288	3066
86	289	3038
87	290	3009
88	291	2982
89	292	2954
90	293	2930
91	294	2906
92	295	2881
93	296	2856
94	297	2832
95	298	2811
96	299	2787
97	300	2764
98	304	2769
99	305	2749
100	306	2729
101	307	2708
102	308	2687
103	309	2666
104	310	2645
105	311	2627
106	312	2608
107	313	2588
108	314	2570
109	319	2588
110	321	2576
111	323	2564
112	324	2550
113	326	2535
114	327	2518
115	328	2501
116	329	2485
117	331	2478
118	332	2463
119	334	2452
120	335	2436
121	336	2418
122	336	2402
123	338	2389
124	339	2374
125	340	2359
126	340	2343
127	342	2331
128	343	2317
129	344	2302
130	346	2298
131	347	2286
132	348	2272
133	349	2259
134	351	2251
135	352	2239
136	353	2226
137	354	2213
138	356	2206
139	357	2199
140	362	2209
141	363	2195
142	364	2184
143	367	2186
144	369	2180
145	371	2171
146	373	2165
147	377	2172
148	379	2167
149	391	2221
150	396	2231
151	399	2228
152	400	2219
153	402	2209
154	403	2199
155	405	2195
156	407	2188
157	411	2190
158	413	2187
159	451	2372
160	455	2372
161	459	2376
162	462	2372
163	464	2365
